Four Digit,Previous Edition,Current Year,Course (Shaded by author), 2025 Pages ," Fl, PC, Em, H pgf ",NOTES, Santucci Title: ,CFP,CPA, EA OTRP , ERPA , CDFA ,CIMA CPWA RMA,IAR,IAR #,$ PDF or Exam Only,$ Print,$ per PDF CPE,Annual Update (Launch),Exam Changes?,Subs Updates, CFP Board # , EA # , ERPA # ,CFP CE  Calc,CPA CPE Calc,CFP Words,CPA words,Rev Q,Exam Q,Min. No. Exam Q,IAR Words,IAR Q,CFP  Subj,CPA  Subj,TX Subject Code,Previous CFP Cr ,Previous CPA Cr , Previous EA OTRP ERP Cr  , Previous CDFA Cr  , Notes ,Notes, ,,,,,,,,
2909,290924,290925,"Federal Tax Law: Retirement Plans, Pensions, and Annuities",, F ," 1,739.0 ",, 2.0 , 3.5 , 3.0 , 3.0 , 3.0 ,,,, 39 , 51 , 11 ,3/24/25,New,,na,FWKK0-T-00695-25-S,FWKK0-Q-00694-25-S,2.85,3.93,25681,22068,15,25,,,,,,,,,,,,"4/10/24: Author's correction of exam Q 20. 2/4/23: Updated for Secure Act 2.0: CFP credit calculation increased from <2.5 to 2.8. If 2024 updated stays at 2.8, inclrease CFP for 2025 (check that there are enough exam questions).  CPA cr  increased from 3 to 3.5 in 2023.",,,,,,,,,
2918,291824,291825,Home Office Deduction,, F , 730.0 ,, 2.0 , 3.0 , 3.0 ,,,,,, 35 , 47 , 12 ,3/18/25,Edit,,245565,FWKK0-T-00685-25-S,na,2.34,3.39,21038,18885,10,25,,,,,,,,,,,,".12/8/21: Author's edit for Ch2 Review Q #3. Exam Q changes: Q15: ""2017""",,,,,,,,,
2929,,292925,Individual Income Tax Credits & Due Diligence Requirements,,,,,, 4.5 ,,,,,,, 47 , 59 , 10 ,5/8/2025,New,,,FWKK0-T-00716-25-S,,,4.95,,28909,22,25,,,,,,,,,,,,,,,,,,,,,
2905,290524,290525,Individual Retirement Accounts , 117.0 ," F, PC "," 7,137.0 ",, 4.0 , 5.5 ,,, 5.5 ,,,, 51 , 66 , 9 ,1/16/25,Yes,,298405,,na,4.39,5.79,39514,32839,23,35,,,,RP, Specialized Knowledge ,, ,,,,,"12/17/23 Corrected Exam Q 14, correct answ = 1,250 (D)  2/24/23: SECURE ACt update t ext and reordered exam; plus 6, ooo words or so 2024: move cdfa and cpa to 6 CPE? .,1/31/23: CPA cr should be 5.0. Chage in 24.12/31/20: Q 10 in exam (author's q 91) answer order different online vs original doc and PDF. changed PDF to match online. answer key correct. 8/28/19: q 10 had wron answer hoices; q 34 needed editing. sent to Pau;.* Author exam q different order than ours: go to previous year draft showing q #s",,,,,,,,,
2911,291124,291125,IRS Collections and Installment Arrangements,,, 93.0 ,,   , 2.0 , 2.0 ,,,,,,25,37, 13 ,2/19/25,copy,,na,FWKK0-T-00687-25-S,na,,2.33,,14659,6,13,,,,,,,,,,,,,,,,,,,,,
2922,292224,292225,Keeping Taxpayer Data Secure,," F, PC ", 592.0 ,, 2.0 , 2.5 , 2.0 ,,,,,,29, 31 , 12 ,3/21/25,copy,,257134,FWKK0-T-00688-25-S,na,2.39,2.96,21505,17271,13,15,,,,,,,,,,,,"1/1/19: Increased Cr, same Exam",,,,,,,,,
2908,290824,290825,Long-Term Care Planning , 109.0 , F ," 3,019.0 ",, 4.5 , 5.5 ,,, 5.5 ,,,, 51 , 66 , 9 ,1/16/24,no,,257136,, ,4.45,5.50,40051,35814,16,25,,,,Ins, Specialized Knowledge ,, ,,,,,"1/8/21: cpa cr reduced from 6 to 5.5 New 25 Q exam down from 40 q.  1/1/19: Increased Cr, same Exam 1/1/9/18: Note that the exam we use is the authors 100+ question non-nasba version. See our file from 2016 showing which questions usede on our 40 question exam when you check for next year updates. 22/16: reviewer edit, p 65 to ""$110"" (to $310 also ok.)",,,,,,,,,
2927,292724,292725,Navigating an IRS Tax Audit,,, 199.0 ,,, 3.0 , 3.0 ,,,,,, 35 , 47 , 12 ,3/21/25,copy,,na,FWKK0-T-00689-25-S, na ,,3.03,,18901,10,15, 15 ,,,, Tax ,,,,,,,,,,,,,,,,
2920,292024,292025,Navigating Form 1040 Schedule C,," F, PC "," 1,279.0 ",, 2.0 , 3.0 , 3.0 ,,,,,, 35 , 47 , 12 ,3/21/25,Edits,,309992,FWKK0-T-00690-25-S, ,2.42,3.08,21753,19740,9,15,,,,,,,,,,,,2/15/24 author edit page 17 2024 std mileage rate. ,,,,,,,,,
2904,290424,290425,Personal Life Insurance Planning  ,, F ," 1,859.0 ",, 2.5 , 4.0 ,,   , 4.0 ,,,, 45 , 57 , 11 ,4/8/25,Edits,,245934,, ,2.66,4.46,23980,18200,16,50,,,,Ins, Specialized Knowledge ,, ,,,,,"1/17/18: updated under new2 cfp id # two outstanding 2017 exams, one called and OK second one purchase date was Pilot tests: 2010: 4.6; ",,,,,,,,,
2906,290624,290625,Practice Before the IRS,,, 194.0 ,,, 2.0 , 2.0 ,,,,,, 25 ,37, 13 ,3/23/25,copy,,na,FWKK0-T-00691-25-S,na, -  ,2.16,,13735,7,10,,,,,Taxes,03,,,,,,7/19/23: Exam Q 3 and 5 edited per author and reviewer.,,,,,,,,,
2912,291224,291225,Principles of Wealth Management, 183.0 ," F, PC "," 12,136.0 ",, 7.0 , 9.0 ,,, 9.0 ,,,, 69 , 87 , 8 ,1/14/25,Yes,,303225,, ,7.03,9.23,63296,57127,28,50,,,,FP, Specialized Knowledge ,, ,,,,,"2/28/23: Updated text only with Secure Act Note course had formatting issues (bullet lists, etc) Silver Laptop",,,,,,,,,
2928,292824,292825,Secure Act 2.0,, 4.0 ," 1,398.0 ",, 3.0 , 4.0 , 4.0 , 4.0 ,,,,, 45 , 57 ,,3/23/25,New,,319982, FWKK0-T-00693-25-S , FWKK0-Q-00692-25-S ,3.23,4.44,29038,28008,16,20, 23 ,,, Tax , Tax , ,,,,,8/12/24: Update to p 23 Ch 3,1/26/24 uploaded new content for 2024 to repolace earlier 2024 updated plus two exam edits. ,,,,,,,,,
2910,291024,291025,Tax Treatment of Individual Retirement Plans ,, F , 369.0 ,,   , 3.0 , 3.0 , 3.0 ,,,,, 35 , 47 , 12 ,3/24/25,New,,na,FWKK0-T-00697-25-S,FWKK0-Q-00698-25-S,   ,3.22, ,16647,12,25,,,,Tax,,,,,,,,2023: increased to 3 cpe -included Secur Act Update issued 2/3/23.  2022: CPA cr reduced from 3 to 2.5 and 2 for IRS.,,,,,,,,,
2923,292324,292325,The Inflation Reduction Act,, F , 225.0 ,,, 2.0 , 2.0 ,,,,,,25,37, 13 ,3/19/25,edits,,na,FWKK0-T-00686-25-S,na,,2.11,13678,13329,7,10,,,,,,,,,,,,11/8/23: Updated for author corrections text and exam.,,,,,,,,,
2915,291524,291525,Virtual Currency Transactions & Form 1040,," F, PC "," 1,465.0 ",, 1.5 , 2.0 , 2.0 ,,,,,, 25 ,37, 13 ,3/25/25,Copy,,303229, FWKK0-T-00700-25-S ,,1.53,2.36,13778,11572,9,20,,,,,Taxes,03,,,,,,2/12/24: upladed revisised course and exam per author. 11/18/22: Correction of math on author's page 23.,,,,,,,,,
2940,292520,294024,Madoff: A Case Study in AICPA Ethics,,," 3,295.0 ",,, 2.0 ,,,,,,, 25 ,37,,8/7/24,No,,na,,,, 2.5 ,,17609,10,6,,,,, Regulatory Ethics ,08,,,,,,5/28/21: Para on p 3 added of Madoff's death. Did not create 2021 edition. 3/25/17-2017 update consisted of one line added to page 31 re disclosures in writing as ot 1/1/17.   9/24/16-general edits of authors 2015 ed. as a result of course review. Formatting changes also. Answers to Rev questions added.,,,,,,,,,
2943,294323,294324,Accounting for Digital Assets in Estate Planning,,, 102.5 ,,, 1.0 ,,,,,,, 15 , 27 ,,9/6/24,New,,,,,, 1.3 ,,8108,5,5,,,,,,,,,,,,,,,,,,,,,
2957, ,295724,Financial Planning for Senior Clients,, PC ,,, 15.5 ,,,, 15.5 , ,,, 129 , 159 ,,2/12/24,New,,322552,,,,,,,,,,,,,,,,,,,"10/9/24: Updated Q 61 to match onoine exam (order of answer choices).7/26/24: edited Q 77 and 66 based on % missed.  5/8/24: based on % Missed, edited Q  26, 27, 61, 66, 72, and 77. ",,,,,,,,,,
2958, ,295825,Advisor's Guide to Investment Planning,," F, PC ",,, 28.0 , 36.0 ,,,,,,, 199 , 229 ,,8/3/24,yes,,195510,,,33.61, 45.6 ,302531,302531,180,143,,,,,,,,,,,,"8/3/24 295825: Use text only words for cfp ce calc. 11/31/22: Exam Q 10 answ should be B not A per 4th Ed exam bank Q 6 for Ch 14.  Q46 was also questioned but appears to be correct...2/21/19 2985192: updated for 4th edition, one new chapter and two new exam q. 295819 is last ed. of 3rd edition.1/1/19: same CFP cr, reduced CPA cr and  exam. 7/11/18: word counts: Text plus review questions: 279,159 (31 cpe); Appendix: 25,934; Glossary: 8,721; Review Answeres: 24,263; All except front and index: 338,077 (37.56 cpe). Estimated review questions: 2,880 (.32 cpe).  11/27/17: Answer for Q43 should be D not B.",,,,,,,,,
2959,295919,,Facilitating Financial Health,," F, PC "," 18,326.0 ", See Notes , 11.0 ,,,, 11 ,,,, 119 , 139 ,,1/1/19,No,,233684,,,11.24,,101163,,55,,,,,,,,,,,,,"2/8/20: at 14 cpe for cpa would need 73 exam and 43 review Q1/1/19: same cr, reduced exam.  11/30/18: Question 1 should be B, not A. 7/16/18: Q 74 PDF had three answ choices.  Cost allocation for book for royalty: $82/2=$42 plus $2 for each exam",,,,,,,,,
2960,296023,296024,Advisor's Guide to Estate Planning,," F, PC ",,, 21.0 , 29.0 ,,,,,,, 189 , 219 ,,3/15/24,Yes,,257116,,,21.28, 29.3 ,191557,182095,145,99,,,,, AP ,,,,,,11/14/24 corrections to chart 14.9.  8/19/24 deleted review q 8-3 and 10-5 as they had no answers and explanations.,"4/27/23: Incorporated 2023 supllement received Fall 2022. Checked and revised review and exam. 11/18/20: updated per 2020 supplement. Exam proofed by CT for changes. New updates coming early 2021.  1/1/19: incr cfp, decreased cpa cr, reduced exam. 1/1/18, reduced exam, cfp cr was 20, cpa was 31. 11/2018, 3rd ed. 1/18/16: upgraded to advanced level (both CFP and CPA) course-pdfs, website, and Learn were changed. Exam review started, four q had wrong . answer key (fixed). Need to edit q 74, 99, 109, and cut down on some of the longer questions in the later chapters. 2/2/16 Molly's Exam Revision Created.",,,,,,,,,
2961,296121,,Complete Divorce Guide ,," F, PC ",,, 7.0 ,,,, 7.0 ,,,, 79 , 99 ,,,,,278343,,,7.13, 8.5 ,64171,64171,38,0,,,,,,,,,,,,,,,,,,,,,
2962,296221,,Organizing and Planning for a Divorce,,,,,,,,, 5.5 ,,,, 59 , 75 ,,6/14/21,New,,na,,,5.78, 7.0 ,51985,51985,34,0,,,,,,,,,,,,,,,,,,,,,
2963,296321,,No Fight Divorce ,,,,,,,,, 5.0 ,,,, 59 , 75 ,,,,,na,,,5.21, 6.1 ,46872,46872,25,0,,,,,,,,,,,,,,,,,,,,,
2964,296421,,Rebuilding After Divorce,,,,, 1.0 ,,,, 1 ,,,, 19 , 31 ,,8/24/21,New,,298406,,,1.26, 1.4 ,11361,11361,5,0,,,,,,,,,,,,"Submitted/Registered 8/24/21, approved and activated 8/25/21",,,,,,,,,
2966,296622,,Child and Spousal Divorce,,,,, 1.0 ,,,, 1 ,,,, 19 , 31 ,,11/29/21,New,,298407,,,1.04, 1.2 ,9352,9352,5,0,,,,,,,,,,,,,,,,,,,,,
2986,298624,298625,Health Savings Accounts,,, 541.0 ,, 1.0 , 1.5 , 1.0 ,,,,,, 19 , 31 ,,2/21/25,Yes,,245249, FWKK0-T-00663-25-S ,na,1.30, 1.8 ,11705,10694,10,6,,,,, Tax ,03,,,,,,12/2018-Renewed for CFP Cr,,,,,,,,,
3136,313624,313625,"Accounting and Financial Reporting in a Post-COVID Economy: Tariffs, Inflation, Interest Rates, and Recession",,, 567.0 ,,,4,,,,,,, 45 , 57 ,,4/24/25,New,,na,,,, 4.4 ,,26223,20,20,,,,,Accounting & Auditing,01,,,,,,4/15/24: Author corrections to exam Q 14 and 15. 1/6/24: uploaded new exam - 2023 had wrong one.2/3/21: minor update for Cons Approriations Act.  1/17/21: Q 12 is A; corrected typos on p ii and 1. 4/23/20: Minor corrections made per author.,,,,,,,,,
3122,312224,312225,Auditing Developments  ,," F, PC "," 3,765.0 ",,, 16.0 ,,,,,,,109,139,,2/28/25,new,,na,,,, 16.5 ,,"94,863",80,80,,,,, Auditing ,02,,,,,,"5/23/24: Author edits5/24/21: Thre pages had corrections:19, 207, 405. 6/18/19-Author Corrections to Tex .6/11/18: authors revisions to text and exam done.",,,,,,,,,
3131,313124,313125,Compilation and Review Standards SSARS Nos 21-26,,F, 833.0 ,,, 12.0 ,,,,,,, 85 , 109 ,,2/28/25,No,,na,,,, 12.3 ,,71087,60,60,,,,, Auditing ,02,,,,,,4/16/20: Course Cr increased from 10 to 12,,,,,,,,,
3123,312324,312325,Current Devel. in Accounting and Financial Report,," F, PC "," 2,075.0 ",,, 16.0 ,,,,,,,109,139,,2/28/25,New,,na,,,, 16.4 ,,94590,80,80,,,,,Accounting,01,,,,,,4/15/24: Author corrections to text only.  5/24/21: author edits to text (corrections). Created PDF from author's PDF inserted to our front pages.,,,,,,,,,
3139,313924,313925,Employee Retention Credit (ERC) and PTE Tax,," F, PC ", 188.0 ,,,2,,,,,,,25,37,,2/28/25,Yes,,na,,,, 2.3 ,,14128,10,10,,,,,Accounting,01,,,,,,"4/15/24: Authors coreections, text only.",,,,,,,,,
3121,312124,312125,FASB Review  ,,F," 1,521.0 ",,, 16.0 ,,,,,,,109,139,,4/23/25,Yes,,na,,,, 16.3 ,,93356,80,80,,,,,Accounting,01,,,,,,"5/23/24: Author edits. 5/24/21: Exam Q Key corrected 11-C; 79-B;80:b. 4-8-18: Corrections to pp 110, 166, 167, 193. DF 6/23/17: q 56 correct ans=d.  Create from 312016 without last chapters.",,,,,,,,,
3120,312024,312025,"FASB, SSARS, and SAS Update & Review Ac16 Au8",," F, PC "," 3,989.0 ",,, 24.0 ,,,,,,,164,194,,4/23/25,YHes,,na,,,, 24.4 ,,139888,120,120,,,,,Accounting & Auditing,01,,,,,,4/11/23: 666 fewer words. 5/24/21: Exam Q Key corrected 11-C; 79-B;80:b. 6/17/19: Revised exam and Learning Obj - based on 4/8/19 edition of course. 312119 was OKDF 6/23/17: q 56 correct ans=d. Don't use tables in exams and watch for para breaks at the end of lindes mid-sentence,,,,,,,,,
3125,312524,312525,GAAP: Tax Basis Q & A ,,, 567.0 ,,, 16.0 ,,,,,,,109,139,,2/28/25,No,,na,,,, 16.1 ,,92021,80,80,,,,, Accounting  ,01,,,,,,5/24/21: author edits to text (corrections). 6/18/19: CORRECTIONS PER AUTHOR.ALL FUSTOLO COURSES: NEXT TECH REVIEW: Late Spring 2017 (see 4/3/17 email),,,,,,,,,
3143,314324,314325,The New Lease Standard 4 CPE,,, 122.0 ,,, 4.0 ,,,,,,, 45 , 57 ,,2/27/25,No,,na,,,, 4.5 ,,27028,20,20,,,,,Accounting,01,,,,,,AF 10/25/23: Updated course,,,,,,,,,
3132,313224,313225,The New Lease Standard 10 CPE,, PC , 863.0 ,,, 10.0 ,,,,,,,75,93,,2/27/25,No,,na,,,, 10.4 ,,60571,50,50,,,,,Accounting,01,,,,,,5/2/24: Special Customer request for 2023 edition for four people;- reactivated 313223 as 313223-2. Deactivate after a month or two. 4/134/21: IUpdated per reviewer comments (not all) 10-25-23: credit increased from 8 to 10 in 2024,,,,,,,,,
3134,313424,313425,New Audit Reporting Standards SAS No. 134-141,,F, 637.0 ,,, 10.0 ,,,,,,,75,93,,2/28/25,no,,na,,,, 10.5 ,,60984,50,50,,,,,Auditing,02,,,,,,"4/2/20: New ed of 2020 ed includes 134-139, Grant reviewed 134-137 version @ 8 CPE launched in December 2019. 2/10/20-Title Changed.",,,,,,,,,
3141,314123,314124,New Auditing Standards-SAS 142-145,,, 134.0 ,,, 4.0 ,,,,,,, 45 , 57 ,,1/5/24,No,,na,,,, 4.5 ,,27014,20,20,,,,,Auditing,02,,,,,,,,,,,,,,,
3135,313524,313525,New Revenue Standard ASC 606,,," 1,690.0 ",,, 8.0 ,,,,,,,65,83,,2/28/25,No,,na,,,, 8.4 ,,48969,40,40,,,,,Accounting,01,,,,,,1/7/21: Removed Error! from p 61 and 89.,,,,,,,,,
3127,312724,312725,Practice Issues: Compilation and Review Update,, F , 775.0 ,,, 20.0 ,,,,,,,139,169,,2/28/25,No,,na,,,, 20.3 ,,115666,100,100,,,,,Auditing,02,,,,,,,,,,,,,,,
3144,314424,314425,SAS No 146-149,,, 100.0 ,,,2,, Brag Price: ,,,,,25,37,,2/28/25,No,,na,,,, 2.4 ,,14755,10,10,,,,,Auditing,02,,,,,,,,,,,,,,,
3146,,314625,Selected Accounting Standards Updates (ASUs) NEW,,,,,,2,,,,,,, 25 , 37 ,,2/25/25,new,,na,,,, 2.1 ,,12613,10,10,,,,,Accounting,01,,,,,,,,,,,,,,,
3140,314024,314025,SSARS 25,,, 98.0 ,,,4,,   ,,,,, 45 , 57 ,,2/21/25,No,,na,,,, 4.2 ,,24164,20,20,,,,,Auditing,02,,,,,,,,,,,,,,,
3142,314224,314225,Tax Basis Financial Statements and Other Frameworks,,,,,,10," 5 Acctg, 5 Aud ",,,,,,75,93,,4/24/25,No,,,,,, 10.3 ,,59231,50,50,,,,,Acctg & Aud 5+5,,,,,,,,,,,,,,,,
3145,314524,314525,The New Allowance for Credit Losses-ASU 2016-13,,,,,,2,,,,,,,25,37,,2/23/25,No,,,,,, 2.1 ,,12455,10,10,,,,,Accounting,,,,,,,,,,,,,,,,
3750,,375024,7 Habits of Effective Auditors,,f,,,,1.0,,   ,,,,, 15 , 27 ,,3/12/24,New,,,,,,,,,,,,,,,Personal Development,,,,,,,,,,,,,,,,
3668,366820,366823,7 Habits of Effective CEOs,,F,,,,1.0,   , 15 ,,,,, 15 , 27 ,15,05/18/23,No,No,na,,,,,," 6,531 ",3,5,,,,,Personal Development,, ,,,,,,,,,,,,,,
